prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
272,RELLENAR,C,1,2553,GUAIFENESINA 200 MG / FENILEFRINA 100 MG / DEXTROMETORFANO 200 MG INFANTIL SOLUCION 150 ML 1 PIEZA,100mg 150ml 200mg,1,solucion,Gripa y tos,Aparato respiratorio,59.0,2,4,FC-01167001,LAÜR Infantil solución inyectable C/3,SON'S,1,70,solo 1/5 principios activos; concentracion coincide; cantidad difiere 3≠1; forma coincide; equivalente PA+concentración+forma
273,RELLENAR,C,1,1945,HIDROCORTISONA / LIDOCAINA  5/60MG 6 SUPOSITORIOS,60mg,6,supositorio,Antiinflamatorios,Analgesia,59.0,2,4,FC-11788928,Desyn-N (Lidocaína/Hidrocortisona),Loeffler,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
274,RELLENAR,C,1,2675,NIFUROXAZIDA SUSPENSION 1 PIEZA,,1,suspension,Antidiarreico,Funcionamiento gastrointestinal,57.0,2,4,FC-25304555,Braxigort (Nifuroxazida) suspensión 4.4 g/100 mL,Degort's Chemical,1,91,principios activos completos; forma coincide; nombre parecido (85/68)
275,RELLENAR,C,1,1996,QUINFAMIDA / ALBENDAZOL 200/400MG JUNIOR SUSPENSION 20 ML 1 PIEZA,20ml 400mg,1,suspension,Antiparasitario,Funcionamiento gastrointestinal,57.0,2,4,EQ-FAC0057,Farmiver Infantil 1 Susp 100/400mg/10,Fármacos Continentales,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
276,RELLENAR,C,1,472,ALUMINIO 3.7 GR / MAGNESIO 4 GR / SIMETICONA .5 GR SUSPENSION 320 ML 1 PIEZA,320ml 3700mg 4000mg 5000mg,1,suspension,Gastritis,Funcionamiento gastrointestinal,56.0,2,4,FC-01165298,Exhantil suspensión,Son's,1,100,principios activos completos; concentracion coincide; forma coincide
277,RELLENAR,C,1,3325,CREMA CORPORAL NIVEA PARA PIEL EXTRA SECA 220 ML 1 PIEZA,220ml,1,crema,Dermatológico,Cuidado de la piel y belleza,56.0,2,4,FC-54504535,Crema corporal Nivea Milk,Nivea,1,82,sin identidad comprobable; nombre muy parecido (89/57)
278,RELLENAR,C,1,2740,NIFUROXAZIDA 400 MG 16 CAPSULAS,400mg,16,capsula,Antidiarreico,Funcionamiento gastrointestinal,56.0,2,4,FC-88579615,Topron nifuroxazida 400 mg C/16,Topron,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
279,RELLENAR,C,1,127,KETOTIFENO 1 MG 30 TABLETAS,1mg,30,tableta,Antialérgico,Medicamentos,54.0,2,4,EQ-SER001,Asmaral-K Ketotifeno,Serral,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
280,RELLENAR,C,1,853,POLIMIXINA B / NEOMICINA / BACITRACINA UNGÜENTO 3.5GR 1 PIEZA,3500mg,1,unguento,Oftalmológico,Medicamentos,54.0,2,4,EQ-EXA045,Neomicina Polimixina-B Bacitracina Ung,Exakta,1,82,principios activos completos; nuestro catalogo sin concentracion; forma coincide; nombre muy parecido (94/61)
281,RELLENAR,C,1,237,KETOTIFENO 0.02GR/ML SOLUCION 120 ML 1 PIEZA,120ml 20mg,1,solucion,Antialérgico,Medicamentos,48.0,2,4,EQ-LOE013,Keraffler Ketotifeno,Loeffler,1,100,principios activos completos; concentracion coincide; forma coincide
282,RELLENAR,C,1,329,SENOSIDOS A Y B 12 MG 30 CAPSULAS,12mg,30,capsula,Laxante,Funcionamiento gastrointestinal,46.0,2,4,FC-08344150,Prugnex Senósidos A-B 12 mg + ciruela 50 mg,Progela,1,70,sin identidad comprobable; equivalente PA+concentración+forma
283,RELLENAR,C,1,623,SUBSALICILATO DE BISMUTO SUSPENSION 120 ML 1 PIEZA,120ml,1,suspension,Antidiarreico,Funcionamiento gastrointestinal,46.0,2,4,FC-53601339,Daclafin subsalicilato bismuto susp. 120 mL,Daclafin,1,100,principios activos completos; concentracion coincide; forma coincide
284,RELLENAR,C,1,4398,CARBONATO DE CALCIO 750MG 24 TABLETAS TUMS,750mg,24,tableta,Gastritis,Funcionamiento gastrointestinal,44.0,2,4,FC-65054135,Tums Extra surtido 750 mg C/3 (3 rollos × 8),Tums,1,76,principios activos completos; concentracion coincide; cantidad difiere 3≠24; forma coincide
285,RELLENAR,C,1,2154,HIPROMELOSA 0.5% SOLUCION OFTALMICA 15 ML 1 PIEZA,15ml,1,solucion,Oftalmológico,Medicamentos,44.0,2,4,FC-54054221,Splash Tears Sol oftálmica,Splash Tears,1,80,principios activos completos; nuestro catalogo sin concentracion; forma coincide
286,RELLENAR,C,1,165,PIROXICAM 0.5/100GR GEL 60 GR 1 PIEZA,100000mg 60000mg,1,gel,Antiinflamatorios,Analgesia,44.0,2,4,FC-01165045,Dolzycam (Piroxicam) gel,Son's,1,100,principios activos completos; concentracion coincide; forma coincide
287,RELLENAR,C,1,167,POLIMIXINA B / NEOMICINA / GRAMICIDINA SOLUCION OFTALMICA 15 ML 1 PIEZA,15ml,1,solucion,Oftalmológico,Medicamentos,41.0,2,4,EQ-EXA035,Neomici Polimixi B Gramicidi 1 Sol 15 Ml,Exakta,1,76,principios activos completos; concentracion coincide; cantidad difiere 15≠1; forma coincide
288,RELLENAR,C,1,266,FLUOCINOLONA / NEOMICINA .01/.35 GR CREMA 40 GR 1 PIEZA,35000mg 40000mg,1,crema,Dermatológico,Medicamentos,36.0,2,4,EQ-SON104,Neoderm-F Cma,Son's,1,70,solo 1/2 principios activos; concentracion coincide; forma coincide; equivalente PA+concentración+forma
289,RELLENAR,C,1,1031,QUINFAMIDA / ALBENDAZOL 100/200MG PEDIATRICO SUSPENSION 10 ML 1 PIEZA,10ml 200mg,1,suspension,Antiparasitario,Funcionamiento gastrointestinal,36.0,2,4,EQ-FAC0058,Farmiver Junior 1 Susp 200/400mg/20 Ml,Fármacos Continentales,1,100,principios activos completos; concentracion coincide; forma coincide
290,RELLENAR,C,1,1095,NAFAZOLINA SOLUCION OFTALMICA 15 ML 1 PIEZA,15ml,1,solucion,Oftalmológico,Medicamentos,35.0,2,4,FC-85132069,Nazil Ofteno Solucion Oftalmica 15 ml,Nazil,1,100,principios activos completos; concentracion coincide; forma coincide
291,RELLENAR,C,1,3879,DEXPANTENOL 5/100GR POMADA 30GR TATUAJES,100000mg 30000mg,,unguento,Dermatológico,Cuidado de la piel y belleza,34.0,2,4,FC-09745997,Pamedan (Dexpantenol) crema 5%,Maver,1,70,principios activos completos; concentracion coincide; forma difiere crema≠unguento
292,RELLENAR,C,1,2006,PICOSULFATO DE SODIO 5 MG 20 TABLETAS,5mg,20,tableta,Laxante,Funcionamiento gastrointestinal,34.0,2,4,FC-06920021,Motilaxil-T (Picosulfato de sodio) 5 mg,Fármacos Continentales,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (81/68)
293,RELLENAR,C,2,324,DIFENHIDRAMINA 25 MG 30 CAPSULAS,25mg,30,capsula,Antialérgico,Medicamentos,33.0,2,4,FC-5145497,NyQuil Z difenhidramina 25 mg C/30,NyQuil,0,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
294,RELLENAR,C,1,437,BROMHEXINA 160MG/100ML ADULTO SOLUCION 1 PIEZA,100ml 160mg,1,solucion,Gripa y tos,Aparato respiratorio,31.0,2,4,FC-73903260,Bromhexina Adulto solución 160 mg/100 mL,Biomep,1,100,principios activos completos; concentracion coincide; forma coincide; nombre muy parecido (88/67)
295,RELLENAR,C,1,768,NEOMICINA / RETINOL (VITAMINA A) UNGÜENTO 28 GR 1 PIEZA,28000mg,1,unguento,Dermatológico,Cuidado de la piel y belleza,31.0,2,4,FC-11165726,Raspisons unguento neomicina/retinol 28 g,Raspisons,1,100,principios activos completos; concentracion coincide; forma coincide
296,RELLENAR,C,1,75,DEXAMETASONA 0.50MG 30 TABLETAS,0.5mg,30,tableta,Antiinflamatorio,Medicamentos,29.0,2,4,EQ-BEA342,Dexametasona 20 Tab 0.5 Mg,beadvance,1,76,principios activos completos; concentracion coincide; cantidad difiere 20≠30; forma coincide; nombre parecido (81/63)
297,RELLENAR,C,1,937,VASELINA PARA BEBE 60 GR 1 PIEZA,60000mg,1,,Cuidado del bebé,Bebés,23.0,2,4,FC-8432071,Jaloma vaselina blanca 60 g,Jaloma,1,95,principios activos completos; concentracion coincide
298,RELLENAR,C,1,236,INDOMETACINA 25MG 30 CAPSULAS,25mg,30,capsula,Antiinflamatorio,Medicamentos,22.0,2,4,EQ-RAD082,Indometacina 30 Caps 25 Mg,Randall,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (84/73)
299,RELLENAR,C,1,108,FUMARATO FERROSO 200 MG 50 COMPRIMIDOS,200mg,50,tableta,Antianémico,Medicamentos,18.0,2,4,EQ-RAD081,Fumarato Ferroso 50 Tab 200mg,Bioresearch,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
300,RELLENAR,C,1,515,CLIOQUINOL CREMA 20 GR 1 PIEZA,20000mg,1,crema,Dermatológico,Cuidado de la piel y belleza,15.0,2,4,EQ-ALP0526,Clioquinol 1 Cma 3% 20 G,Alpharma,1,100,principios activos completos; concentracion coincide; forma coincide
301,RELLENAR,C,1,12,ALBENDAZOL 200 MG 6 TABLETAS,200mg,6,tableta,Antiparasitario,Medicamentos,13.0,2,4,EQ-NOV025,Vermisen 6 Tab 200 Mg,Novag,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
302,RELLENAR,C,1,13,ALBENDAZOL SUSPENSION 20 ML 1 PIEZA,20ml,1,suspension,Antiparasitario,Medicamentos,7.0,2,4,EQ-FAC0058,Farmiver Junior 1 Susp 200/400mg/20 Ml,Fármacos Continentales,1,70,solo 1/2 principios activos; concentracion coincide; forma coincide; equivalente PA+concentración+forma
